STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
        433;2024082600;    3;  14.5;  66.0;eor
        433;2024082601;    3;  13.3;  73.0;eor
        433;2024082602;    3;  14.0;  73.0;eor
        433;2024082603;    3;  13.0;  80.0;eor
        433;2024082604;    3;  12.1;  83.0;eor
        433;2024082605;    3;  11.5;  84.0;eor
        433;2024082606;    3;  15.3;  76.0;eor
        433;2024082607;    3;  18.7;  59.0;eor
        433;2024082608;    3;  20.3;  54.0;eor
        433;2024082609;    3;  22.1;  46.0;eor
        433;2024082610;    3;  23.4;  40.0;eor
        433;2024082611;    3;  23.2;  40.0;eor
        433;2024082612;    3;  24.0;  37.0;eor
        433;2024082613;    3;  24.6;  35.0;eor
        433;2024082614;    3;  24.4;  34.0;eor
        433;2024082615;    3;  25.0;  34.0;eor
        433;2024082616;    3;  24.9;  33.0;eor
        433;2024082617;    3;  24.8;  34.0;eor
        433;2024082618;    3;  22.8;  40.0;eor
        433;2024082619;    3;  20.0;  48.0;eor
        433;2024082620;    3;  17.6;  57.0;eor
        433;2024082621;    3;  17.1;  62.0;eor
        433;2024082622;    3;  14.7;  73.0;eor
        433;2024082623;    3;  14.2;  75.0;eor
        433;2024082700;    3;  15.2;  77.0;eor
        433;2024082701;    3;  16.4;  75.0;eor
        433;2024082702;    3;  14.2;  85.0;eor
        433;2024082703;    3;  14.3;  88.0;eor
        433;2024082704;    3;  14.2;  88.0;eor
        433;2024082705;    3;  14.8;  86.0;eor
        433;2024082706;    3;  16.4;  80.0;eor
        433;2024082707;    3;  19.1;  71.0;eor
        433;2024082708;    3;  21.7;  59.0;eor
        433;2024082709;    3;  23.8;  49.0;eor
        433;2024082710;    3;  24.6;  41.0;eor
        433;2024082711;    3;  25.1;  37.0;eor
        433;2024082712;    3;  25.8;  34.0;eor
        433;2024082713;    3;  26.8;  34.0;eor
        433;2024082714;    3;  26.4;  34.0;eor
        433;2024082715;    3;  26.3;  34.0;eor
        433;2024082716;    3;  26.2;  35.0;eor
        433;2024082717;    3;  25.4;  36.0;eor
        433;2024082718;    3;  23.9;  41.0;eor
        433;2024082719;    3;  21.9;  49.0;eor
        433;2024082720;    3;  20.5;  53.0;eor
        433;2024082721;    3;  18.6;  59.0;eor
        433;2024082722;    3;  18.0;  62.0;eor
        433;2024082723;    3;  16.8;  66.0;eor
        433;2024082800;    3;  16.7;  65.0;eor
        433;2024082801;    3;  16.6;  65.0;eor
        433;2024082802;    3;  16.5;  66.0;eor
        433;2024082803;    3;  16.0;  68.0;eor
        433;2024082804;    3;  15.6;  69.0;eor
        433;2024082805;    3;  15.8;  69.0;eor
        433;2024082806;    3;  17.4;  63.0;eor
        433;2024082807;    3;  19.8;  56.0;eor
        433;2024082808;    3;  21.3;  53.0;eor
        433;2024082809;    3;  23.8;  50.0;eor
        433;2024082810;    3;  25.2;  48.0;eor
        433;2024082811;    3;  27.6;  45.0;eor
        433;2024082812;    3;  28.7;  48.0;eor
        433;2024082813;    3;  29.2;  46.0;eor
        433;2024082814;    3;  29.8;  45.0;eor
        433;2024082815;    3;  30.3;  44.0;eor
        433;2024082816;    3;  30.0;  45.0;eor
        433;2024082817;    3;  29.3;  48.0;eor
        433;2024082818;    3;  27.4;  55.0;eor
        433;2024082819;    3;  26.2;  60.0;eor
        433;2024082820;    3;  25.5;  64.0;eor
        433;2024082821;    3;  25.0;  67.0;eor
        433;2024082822;    3;  24.1;  71.0;eor
        433;2024082823;    3;  23.2;  75.0;eor
        433;2024082900;    3;  22.8;  78.0;eor
        433;2024082901;    3;  22.4;  80.0;eor
        433;2024082902;    3;  21.6;  84.0;eor
        433;2024082903;    3;  21.0;  87.0;eor
        433;2024082904;    3;  21.1;  87.0;eor
        433;2024082905;    3;  21.0;  87.0;eor
        433;2024082906;    3;  22.3;  81.0;eor
        433;2024082907;    3;  24.2;  73.0;eor
        433;2024082908;    3;  26.8;  60.0;eor
        433;2024082909;    3;  28.6;  54.0;eor
        433;2024082910;    3;  31.1;  39.0;eor
        433;2024082911;    3;  32.0;  34.0;eor
        433;2024082912;    3;  33.2;  30.0;eor
        433;2024082913;    3;  33.7;  28.0;eor
        433;2024082914;    3;  34.4;  28.0;eor
        433;2024082915;    3;  33.9;  28.0;eor
        433;2024082916;    3;  34.0;  25.0;eor
        433;2024082917;    3;  33.5;  26.0;eor
        433;2024082918;    3;  29.9;  37.0;eor
        433;2024082919;    3;  26.3;  48.0;eor
        433;2024082920;    3;  24.8;  55.0;eor
        433;2024082921;    3;  24.2;  57.0;eor
        433;2024082922;    3;  23.6;  59.0;eor
        433;2024082923;    3;  22.6;  62.0;eor
        433;2024083000;    3;  22.7;  61.0;eor
        433;2024083001;    3;  21.2;  68.0;eor
        433;2024083002;    3;  22.0;  67.0;eor
        433;2024083003;    3;  20.4;  75.0;eor
        433;2024083004;    3;  19.3;  80.0;eor
        433;2024083005;    3;  21.6;  71.0;eor
        433;2024083006;    3;  22.9;  69.0;eor
        433;2024083007;    3;  23.6;  68.0;eor
        433;2024083008;    3;  23.5;  67.0;eor
        433;2024083009;    3;  25.7;  56.0;eor
        433;2024083010;    3;  27.2;  52.0;eor
        433;2024083011;    3;  28.8;  43.0;eor
        433;2024083012;    3;  29.3;  41.0;eor
        433;2024083013;    3;  28.9;  46.0;eor
        433;2024083014;    3;  26.0;  58.0;eor
        433;2024083015;    3;  26.0;  56.0;eor
        433;2024083016;    3;  24.9;  60.0;eor
        433;2024083017;    3;  23.8;  64.0;eor
        433;2024083018;    3;  22.3;  67.0;eor
        433;2024083019;    3;  21.3;  69.0;eor
        433;2024083020;    3;  20.6;  71.0;eor
        433;2024083021;    3;  19.8;  73.0;eor
        433;2024083022;    3;  18.4;  76.0;eor
        433;2024083023;    3;  17.0;  68.0;eor
        433;2024083100;    3;  16.1;  77.0;eor
        433;2024083101;    3;  15.3;  82.0;eor
        433;2024083102;    3;  15.2;  81.0;eor
        433;2024083103;    3;  15.5;  80.0;eor
        433;2024083104;    3;  15.7;  80.0;eor
        433;2024083105;    3;  15.9;  81.0;eor
        433;2024083106;    3;  16.5;  78.0;eor
        433;2024083107;    3;  17.2;  74.0;eor
        433;2024083108;    3;  19.1;  68.0;eor
        433;2024083109;    3;  20.4;  60.0;eor
        433;2024083110;    3;  21.2;  53.0;eor
        433;2024083111;    3;  21.7;  50.0;eor
        433;2024083112;    3;  23.2;  45.0;eor
        433;2024083113;    3;  24.0;  40.0;eor
        433;2024083114;    3;  23.6;  42.0;eor
        433;2024083115;    3;  23.8;  43.0;eor
        433;2024083116;    3;  23.7;  43.0;eor
        433;2024083117;    3;  22.2;  48.0;eor
        433;2024083118;    3;  21.4;  49.0;eor
        433;2024083119;    3;  19.8;  59.0;eor
        433;2024083120;    3;  19.7;  59.0;eor
        433;2024083121;    3;  18.7;  63.0;eor
        433;2024083122;    3;  17.6;  68.0;eor
        433;2024083123;    3;  16.7;  72.0;eor
        433;2024090100;    3;  16.2;  74.0;eor
        433;2024090101;    3;  15.6;  76.0;eor
        433;2024090102;    3;  15.0;  79.0;eor
        433;2024090103;    3;  14.9;  80.0;eor
        433;2024090104;    3;  15.1;  79.0;eor
        433;2024090105;    3;  15.1;  79.0;eor
        433;2024090106;    3;  15.5;  78.0;eor
        433;2024090107;    3;  17.3;  70.0;eor
        433;2024090108;    3;  19.7;  61.0;eor
        433;2024090109;    3;  21.7;  53.0;eor
        433;2024090110;    3;  22.9;  49.0;eor
        433;2024090111;    3;  23.8;  46.0;eor
        433;2024090112;    3;  24.3;  43.0;eor
        433;2024090113;    3;  24.6;  40.0;eor
        433;2024090114;    3;  24.3;  42.0;eor
        433;2024090115;    3;  24.7;  43.0;eor
        433;2024090116;    3;  24.4;  43.0;eor
        433;2024090117;    3;  23.0;  46.0;eor
        433;2024090118;    3;  21.3;  51.0;eor
        433;2024090119;    3;  20.5;  55.0;eor
        433;2024090120;    3;  19.8;  57.0;eor
        433;2024090121;    3;  18.9;  61.0;eor
        433;2024090122;    3;  17.3;  67.0;eor
        433;2024090123;    3;  16.0;  72.0;eor
        433;2024090200;    3;  13.6;  78.0;eor
        433;2024090201;    3;  14.1;  77.0;eor
        433;2024090202;    3;  13.6;  80.0;eor
        433;2024090203;    3;  13.3;  80.0;eor
        433;2024090204;    3;  12.1;  82.0;eor
        433;2024090205;    3;  13.2;  80.0;eor
        433;2024090206;    3;  14.7;  73.0;eor
        433;2024090207;    3;  17.0;  63.0;eor
        433;2024090208;    3;  19.4;  57.0;eor
        433;2024090209;    3;  21.9;  50.0;eor
        433;2024090210;    3;  23.0;  46.0;eor
        433;2024090211;    3;  23.7;  45.0;eor
        433;2024090212;    3;  25.2;  44.0;eor
        433;2024090213;    3;  25.7;  42.0;eor
        433;2024090214;    3;  26.5;  40.0;eor
        433;2024090215;    3;  26.8;  40.0;eor
        433;2024090216;    3;  26.6;  41.0;eor
        433;2024090217;    3;  25.8;  45.0;eor
        433;2024090218;    3;  23.2;  55.0;eor
        433;2024090219;    3;  22.8;  59.0;eor
        433;2024090220;    3;  22.4;  63.0;eor
        433;2024090221;    3;  21.4;  67.0;eor
        433;2024090222;    3;  20.7;  71.0;eor
        433;2024090223;    3;  19.9;  75.0;eor
        433;2024090300;    3;  19.7;  76.0;eor
        433;2024090301;    3;  19.3;  78.0;eor
        433;2024090302;    3;  18.8;  81.0;eor
        433;2024090303;    3;  18.5;  81.0;eor
        433;2024090304;    3;  17.5;  85.0;eor
        433;2024090305;    3;  17.9;  83.0;eor
        433;2024090306;    3;  19.0;  79.0;eor
        433;2024090307;    3;  20.7;  73.0;eor
        433;2024090308;    3;  22.7;  67.0;eor
        433;2024090309;    3;  24.3;  64.0;eor
        433;2024090310;    3;  26.7;  57.0;eor
        433;2024090311;    3;  28.1;  53.0;eor
        433;2024090312;    3;  29.6;  49.0;eor
        433;2024090313;    3;  31.4;  43.0;eor
        433;2024090314;    3;  32.0;  42.0;eor
        433;2024090315;    3;  32.7;  39.0;eor
        433;2024090316;    3;  32.3;  39.0;eor
        433;2024090317;    3;  31.8;  41.0;eor
        433;2024090318;    3;  29.7;  44.0;eor
        433;2024090319;    3;  28.1;  49.0;eor
        433;2024090320;    3;  27.0;  53.0;eor
        433;2024090321;    3;  22.4;  69.0;eor
        433;2024090322;    3;  23.0;  69.0;eor
        433;2024090323;    3;  22.8;  71.0;eor
        433;2024090400;    3;  21.4;  78.0;eor
        433;2024090401;    3;  20.9;  79.0;eor
        433;2024090402;    3;  21.1;  76.0;eor
        433;2024090403;    3;  20.2;  80.0;eor
        433;2024090404;    3;  20.2;  79.0;eor
        433;2024090405;    3;  20.5;  76.0;eor
        433;2024090406;    3;  21.6;  70.0;eor
        433;2024090407;    3;  23.6;  61.0;eor
        433;2024090408;    3;  26.3;  52.0;eor
        433;2024090409;    3;  28.5;  44.0;eor
        433;2024090410;    3;  30.7;  40.0;eor
        433;2024090411;    3;  32.3;  31.0;eor
        433;2024090412;    3;  33.5;  28.0;eor
        433;2024090413;    3;  34.0;  26.0;eor
        433;2024090414;    3;  34.0;  24.0;eor
        433;2024090415;    3;  33.7;  25.0;eor
        433;2024090416;    3;  32.5;  28.0;eor
        433;2024090417;    3;  30.8;  32.0;eor
        433;2024090418;    3;  28.2;  36.0;eor
        433;2024090419;    3;  27.2;  37.0;eor
        433;2024090420;    3;  26.5;  38.0;eor
        433;2024090421;    3;  25.1;  42.0;eor
        433;2024090422;    3;  24.7;  42.0;eor
        433;2024090423;    3;  23.2;  48.0;eor
        433;2024090500;    3;  23.0;  50.0;eor
        433;2024090501;    3;  22.4;  53.0;eor
        433;2024090502;    3;  21.4;  57.0;eor
        433;2024090503;    3;  21.2;  58.0;eor
        433;2024090504;    3;  20.6;  60.0;eor
        433;2024090505;    3;  20.8;  59.0;eor
        433;2024090506;    3;  21.8;  56.0;eor
        433;2024090507;    3;  23.8;  50.0;eor
        433;2024090508;    3;  25.7;  44.0;eor
        433;2024090509;    3;  28.0;  39.0;eor
        433;2024090510;    3;  30.1;  35.0;eor
        433;2024090511;    3;  30.8;  34.0;eor
        433;2024090512;    3;  31.4;  30.0;eor
        433;2024090513;    3;  31.4;  25.0;eor
        433;2024090514;    3;  30.8;  25.0;eor
        433;2024090515;    3;  30.3;  24.0;eor
        433;2024090516;    3;  29.9;  27.0;eor
        433;2024090517;    3;  28.8;  30.0;eor
        433;2024090518;    3;  26.8;  36.0;eor
        433;2024090519;    3;  26.0;  39.0;eor
        433;2024090520;    3;  24.8;  42.0;eor
        433;2024090521;    3;  23.9;  44.0;eor
        433;2024090522;    3;  23.6;  43.0;eor
        433;2024090523;    3;  22.3;  45.0;eor
        433;2024090600;    3;  21.5;  47.0;eor
        433;2024090601;    3;  20.7;  50.0;eor
        433;2024090602;    3;  20.9;  49.0;eor
        433;2024090603;    3;  20.3;  51.0;eor
        433;2024090604;    3;  19.6;  52.0;eor
        433;2024090605;    3;  19.3;  52.0;eor
        433;2024090606;    3;  19.6;  52.0;eor
        433;2024090607;    3;  21.1;  48.0;eor
        433;2024090608;    3;  23.1;  42.0;eor
