Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Dec 31, 2025 12:00 AM;Dec 31, 2025 1:00 AM;4,145.01;952.37;5,326.19;17,824.06;6.41;109.00;-;6,471.88;2,409.05;8,025.47;106.66;2,049.41
Dec 31, 2025 1:00 AM;Dec 31, 2025 2:00 AM;4,081.53;939.50;5,595.10;19,334.75;6.35;106.66;-;5,392.07;2,207.79;7,746.88;32.57;2,043.78
Dec 31, 2025 2:00 AM;Dec 31, 2025 3:00 AM;4,045.66;939.11;6,452.16;19,851.40;6.34;106.77;-;4,683.95;1,978.20;7,800.83;101.77;1,993.60
Dec 31, 2025 3:00 AM;Dec 31, 2025 4:00 AM;4,022.10;937.35;7,451.90;21,077.36;6.36;106.92;-;4,518.24;2,022.07;7,823.38;1.20;1,974.85
Dec 31, 2025 4:00 AM;Dec 31, 2025 5:00 AM;4,039.26;938.06;7,551.48;22,654.31;6.72;106.95;-;4,365.95;2,352.08;8,004.26;1.49;2,021.98
Dec 31, 2025 5:00 AM;Dec 31, 2025 6:00 AM;4,089.78;980.59;7,232.67;24,003.90;6.77;106.88;-;4,639.56;2,552.55;8,234.60;368.12;2,021.20
Dec 31, 2025 6:00 AM;Dec 31, 2025 7:00 AM;4,126.09;1,073.81;5,354.25;26,036.93;6.70;106.87;-;5,154.25;2,928.65;8,784.48;263.17;1,992.13
Dec 31, 2025 7:00 AM;Dec 31, 2025 8:00 AM;4,249.46;1,087.90;5,263.68;26,482.45;9.98;106.89;-;5,126.95;3,356.66;9,204.28;179.11;2,103.46
Dec 31, 2025 8:00 AM;Dec 31, 2025 9:00 AM;4,399.56;1,112.20;5,553.94;26,754.57;450.74;106.64;-;5,171.97;3,497.64;9,489.82;1,274.26;2,148.45
Dec 31, 2025 9:00 AM;Dec 31, 2025 10:00 AM;4,412.73;1,006.56;5,746.85;27,195.73;2,874.06;106.17;-;5,340.10;3,510.63;9,281.42;1,097.32;1,984.84
Dec 31, 2025 10:00 AM;Dec 31, 2025 11:00 AM;4,273.60;973.32;5,886.30;28,333.22;6,031.20;105.66;-;5,469.55;3,090.64;8,513.33;220.83;1,965.35
Dec 31, 2025 11:00 AM;Dec 31, 2025 12:00 PM;4,130.14;964.90;6,094.77;29,346.03;8,645.55;105.26;-;4,847.15;2,917.94;7,995.96;58.48;1,957.60
Dec 31, 2025 12:00 PM;Dec 31, 2025 1:00 PM;4,106.04;956.72;6,574.85;30,376.55;9,367.30;104.87;-;4,551.72;2,697.22;7,864.05;72.19;1,972.61
Dec 31, 2025 1:00 PM;Dec 31, 2025 2:00 PM;4,121.70;956.81;6,807.32;30,347.25;8,472.91;104.56;-;4,526.28;2,544.77;7,886.12;42.16;1,947.29
Dec 31, 2025 2:00 PM;Dec 31, 2025 3:00 PM;4,187.26;955.94;6,719.21;29,279.55;5,891.98;104.40;-;4,518.44;2,770.95;7,836.08;96.70;1,915.32
Dec 31, 2025 3:00 PM;Dec 31, 2025 4:00 PM;4,327.28;1,037.14;6,593.77;28,391.88;2,235.37;104.81;-;5,390.07;3,009.06;8,097.92;384.82;1,982.60
Dec 31, 2025 4:00 PM;Dec 31, 2025 5:00 PM;4,561.21;1,108.27;6,416.21;28,200.05;142.95;105.54;-;6,280.83;3,502.49;8,350.31;1,548.97;1,995.85
Dec 31, 2025 5:00 PM;Dec 31, 2025 6:00 PM;4,622.57;1,159.45;6,251.36;27,599.37;44.25;105.84;-;6,721.38;4,027.59;8,471.24;3,691.60;1,964.01
Dec 31, 2025 6:00 PM;Dec 31, 2025 7:00 PM;4,631.88;1,167.58;6,100.61;27,263.60;40.59;105.64;-;7,061.08;4,029.27;8,387.50;3,161.22;1,949.92
Dec 31, 2025 7:00 PM;Dec 31, 2025 8:00 PM;4,562.02;1,087.78;5,730.01;27,118.64;12.04;105.40;-;7,273.51;3,840.90;8,317.29;1,039.13;1,929.30
Dec 31, 2025 8:00 PM;Dec 31, 2025 9:00 PM;4,426.72;1,006.17;5,311.03;28,230.90;9.81;105.14;-;5,903.77;4,075.67;8,388.68;181.75;1,930.81
Dec 31, 2025 9:00 PM;Dec 31, 2025 10:00 PM;4,326.55;1,044.08;4,697.15;30,061.56;8.30;105.23;-;5,095.60;4,392.12;8,312.46;30.12;1,927.72
Dec 31, 2025 10:00 PM;Dec 31, 2025 11:00 PM;4,254.69;1,052.91;3,610.90;29,953.66;9.13;105.71;-;4,983.33;4,908.13;8,391.13;341.03;1,915.03
Dec 31, 2025 11:00 PM;Jan 1, 2026 12:00 AM;4,191.07;993.86;3,003.31;31,238.47;8.04;106.14;-;4,549.29;4,793.83;7,821.99;893.80;1,900.86
Jan 1, 2026 12:00 AM;Jan 1, 2026 1:00 AM;4,101.51;823.10;2,860.69;32,622.87;0.00;97.37;-;3,947.69;4,530.64;6,347.69;595.40;1,875.74
Jan 1, 2026 1:00 AM;Jan 1, 2026 2:00 AM;4,072.94;891.29;3,721.72;34,178.06;0.00;97.37;-;3,081.94;4,449.58;5,592.30;290.59;1,834.34
Jan 1, 2026 2:00 AM;Jan 1, 2026 3:00 AM;4,068.88;845.03;4,567.13;35,234.42;0.00;97.37;-;2,815.75;4,517.20;4,855.01;131.48;1,801.83
Jan 1, 2026 3:00 AM;Jan 1, 2026 4:00 AM;4,070.35;808.02;5,065.07;36,627.27;0.00;97.37;-;2,344.65;4,429.11;4,498.88;224.98;1,832.08
Jan 1, 2026 4:00 AM;Jan 1, 2026 5:00 AM;4,083.53;807.08;5,004.18;37,384.55;0.00;97.37;-;2,329.38;4,401.86;4,453.17;236.43;1,841.44
Jan 1, 2026 5:00 AM;Jan 1, 2026 6:00 AM;4,105.88;796.50;4,126.84;38,131.01;0.00;97.37;-;2,331.32;4,316.27;4,483.33;227.55;1,808.81
Jan 1, 2026 6:00 AM;Jan 1, 2026 7:00 AM;4,165.10;776.97;2,843.89;40,663.40;0.00;97.37;-;2,514.61;4,322.66;4,533.24;80.72;1,901.30
Jan 1, 2026 7:00 AM;Jan 1, 2026 8:00 AM;4,266.99;860.17;2,165.86;41,836.20;0.01;97.37;-;2,433.85;4,280.23;4,586.47;90.64;1,824.59
Jan 1, 2026 8:00 AM;Jan 1, 2026 9:00 AM;4,345.50;830.86;3,099.72;42,114.14;564.01;97.37;-;2,378.15;4,260.61;4,433.70;227.46;1,821.42
Jan 1, 2026 9:00 AM;Jan 1, 2026 10:00 AM;4,379.94;826.18;4,132.64;42,014.79;3,356.69;97.37;-;2,567.41;4,433.99;4,392.25;35.22;1,788.59
Jan 1, 2026 10:00 AM;Jan 1, 2026 11:00 AM;4,374.56;857.33;4,708.91;41,692.71;6,310.43;97.37;-;2,628.63;4,390.29;4,480.04;11.75;1,777.92
Jan 1, 2026 11:00 AM;Jan 1, 2026 12:00 PM;4,364.34;870.12;5,015.03;42,057.08;8,499.27;97.37;-;2,627.24;4,099.40;4,315.73;2.15;1,778.62
Jan 1, 2026 12:00 PM;Jan 1, 2026 1:00 PM;4,300.83;946.36;5,079.12;42,045.39;9,118.05;97.37;-;2,615.73;4,005.49;4,325.04;0.02;1,776.66
Jan 1, 2026 1:00 PM;Jan 1, 2026 2:00 PM;4,256.52;928.41;5,277.38;43,074.62;7,795.08;97.37;-;2,600.02;3,897.71;4,220.62;0.00;1,772.25
Jan 1, 2026 2:00 PM;Jan 1, 2026 3:00 PM;4,268.33;922.19;5,143.22;44,728.86;4,929.62;98.25;-;2,590.52;4,000.45;4,270.65;145.01;1,795.30
Jan 1, 2026 3:00 PM;Jan 1, 2026 4:00 PM;4,310.18;906.63;4,908.45;45,039.05;1,814.89;98.54;-;2,615.11;4,301.64;4,358.54;1,820.44;1,776.08
Jan 1, 2026 4:00 PM;Jan 1, 2026 5:00 PM;4,428.44;869.77;4,585.01;45,442.16;111.09;98.54;-;2,693.18;4,666.71;4,520.74;3,157.97;1,717.86
Jan 1, 2026 5:00 PM;Jan 1, 2026 6:00 PM;4,507.81;966.37;4,565.52;44,818.58;0.00;98.54;-;2,643.04;4,823.29;4,837.97;4,300.45;1,733.59
Jan 1, 2026 6:00 PM;Jan 1, 2026 7:00 PM;4,507.62;901.58;4,898.01;43,332.10;0.00;98.54;-;2,641.79;4,637.24;4,889.48;4,050.65;1,718.96
Jan 1, 2026 7:00 PM;Jan 1, 2026 8:00 PM;4,443.34;820.06;4,291.75;43,777.88;0.00;98.54;-;2,636.16;4,663.82;5,026.00;2,932.70;1,737.61
Jan 1, 2026 8:00 PM;Jan 1, 2026 9:00 PM;4,362.17;791.71;5,264.44;44,324.31;0.00;98.54;-;2,444.22;4,439.90;4,546.12;368.56;1,762.52
Jan 1, 2026 9:00 PM;Jan 1, 2026 10:00 PM;4,293.02;810.19;5,258.57;42,938.71;0.00;98.54;-;2,453.38;4,135.41;4,481.45;662.10;1,800.11
Jan 1, 2026 10:00 PM;Jan 1, 2026 11:00 PM;4,232.65;787.19;4,638.49;41,244.87;0.00;98.54;-;2,473.63;4,239.38;4,582.21;748.30;1,807.96
Jan 1, 2026 11:00 PM;Jan 2, 2026 12:00 AM;4,172.24;799.42;3,744.42;41,802.46;0.00;98.54;-;2,465.91;4,412.21;4,308.38;120.00;1,866.36
Jan 2, 2026 12:00 AM;Jan 2, 2026 1:00 AM;4,102.67;801.75;3,504.67;41,820.43;0.00;97.45;-;2,671.21;4,459.40;4,639.43;165.73;1,838.35
Jan 2, 2026 1:00 AM;Jan 2, 2026 2:00 AM;4,080.99;816.32;3,612.16;41,980.86;0.00;97.45;-;2,673.71;4,616.82;4,520.59;2.96;1,794.44
Jan 2, 2026 2:00 AM;Jan 2, 2026 3:00 AM;4,066.67;822.53;4,078.82;41,981.11;0.00;97.45;-;2,686.08;4,744.01;4,446.90;0.40;1,755.32
Jan 2, 2026 3:00 AM;Jan 2, 2026 4:00 AM;4,070.14;811.73;4,151.56;41,332.75;0.00;97.45;-;2,670.77;4,778.73;4,566.30;1.23;1,799.40
Jan 2, 2026 4:00 AM;Jan 2, 2026 5:00 AM;4,095.88;804.64;4,324.67;39,923.97;0.00;97.45;-;2,720.08;4,544.74;4,889.34;49.59;1,797.17
Jan 2, 2026 5:00 AM;Jan 2, 2026 6:00 AM;4,122.22;797.96;4,274.93;39,095.28;0.00;97.45;-;2,716.96;4,980.13;5,430.20;20.18;1,789.93
Jan 2, 2026 6:00 AM;Jan 2, 2026 7:00 AM;4,189.28;829.27;3,890.67;38,938.91;0.00;97.45;-;2,839.42;5,651.20;5,922.77;268.00;1,785.09
Jan 2, 2026 7:00 AM;Jan 2, 2026 8:00 AM;4,317.02;885.81;3,862.56;39,009.68;0.01;97.45;-;3,138.81;6,256.79;6,733.20;859.84;1,808.46
Jan 2, 2026 8:00 AM;Jan 2, 2026 9:00 AM;4,425.90;824.72;3,920.96;38,601.12;168.70;97.45;-;3,604.40;6,318.29;7,214.50;1,023.57;1,843.98
Jan 2, 2026 9:00 AM;Jan 2, 2026 10:00 AM;4,436.69;978.90;4,282.45;38,118.60;1,520.65;97.45;-;3,734.53;5,992.21;7,311.92;1,806.25;1,840.51
Jan 2, 2026 10:00 AM;Jan 2, 2026 11:00 AM;4,384.70;900.22;4,693.08;39,568.63;3,098.67;97.45;-;3,799.15;4,967.05;7,267.73;898.17;1,865.57
Jan 2, 2026 11:00 AM;Jan 2, 2026 12:00 PM;4,347.86;843.82;5,108.01;39,227.94;4,780.50;97.45;-;4,150.87;4,359.75;7,300.46;1,083.07;1,865.72
Jan 2, 2026 12:00 PM;Jan 2, 2026 1:00 PM;4,295.02;936.20;5,958.63;39,028.93;5,424.33;87.25;-;4,044.63;4,467.21;7,338.20;222.70;1,870.96
Jan 2, 2026 1:00 PM;Jan 2, 2026 2:00 PM;4,280.71;896.10;5,140.26;39,081.05;5,064.17;79.85;-;3,549.91;5,411.28;7,325.92;136.75;1,865.16
Jan 2, 2026 2:00 PM;Jan 2, 2026 3:00 PM;4,311.77;832.47;4,539.36;38,606.20;3,699.12;97.37;-;3,570.68;5,689.83;7,653.75;163.22;1,853.88
Jan 2, 2026 3:00 PM;Jan 2, 2026 4:00 PM;4,382.76;868.83;3,921.21;38,208.50;1,560.41;97.37;-;3,782.21;5,877.53;8,160.00;1,213.54;1,818.95
Jan 2, 2026 4:00 PM;Jan 2, 2026 5:00 PM;4,505.14;846.05;4,311.36;37,646.17;92.90;97.37;-;4,121.61;5,985.90;8,344.40;2,601.55;1,828.49
Jan 2, 2026 5:00 PM;Jan 2, 2026 6:00 PM;4,570.70;842.41;4,009.19;38,441.13;0.00;97.37;-;4,241.61;6,283.88;8,459.43;1,772.39;1,878.54
Jan 2, 2026 6:00 PM;Jan 2, 2026 7:00 PM;4,584.80;826.48;3,638.63;38,959.43;0.00;97.37;-;4,500.16;6,228.13;8,579.29;1,769.72;1,845.15
Jan 2, 2026 7:00 PM;Jan 2, 2026 8:00 PM;4,519.52;812.65;3,541.60;38,199.55;0.00;91.32;-;4,613.18;6,136.25;8,610.23;1,026.85;1,844.50
Jan 2, 2026 8:00 PM;Jan 2, 2026 9:00 PM;4,412.28;824.10;3,911.81;36,942.81;0.00;97.37;-;4,807.37;5,885.12;8,662.66;1,016.18;1,855.80
Jan 2, 2026 9:00 PM;Jan 2, 2026 10:00 PM;4,301.62;826.71;4,170.22;35,319.18;0.00;97.37;-;4,476.50;5,848.88;8,546.42;758.26;1,855.61
Jan 2, 2026 10:00 PM;Jan 2, 2026 11:00 PM;4,246.66;875.83;3,934.80;32,860.05;0.00;97.37;-;4,729.21;5,668.21;8,456.50;964.07;1,901.49
Jan 2, 2026 11:00 PM;Jan 3, 2026 12:00 AM;4,180.47;809.32;3,906.16;32,179.28;0.00;97.37;-;4,386.82;5,331.79;8,087.96;365.22;1,849.59
Jan 3, 2026 12:00 AM;Jan 3, 2026 1:00 AM;4,114.17;789.08;5,184.63;31,641.56;0.00;97.37;-;3,518.35;4,408.87;7,256.45;3.41;1,805.72
Jan 3, 2026 1:00 AM;Jan 3, 2026 2:00 AM;4,087.74;778.53;5,616.46;30,789.13;0.00;97.37;-;3,331.46;3,275.79;6,940.74;0.37;1,823.94
Jan 3, 2026 2:00 AM;Jan 3, 2026 3:00 AM;4,072.10;771.65;4,912.95;29,334.90;0.00;97.37;-;3,305.40;2,654.43;7,055.32;31.18;1,881.97
Jan 3, 2026 3:00 AM;Jan 3, 2026 4:00 AM;4,063.31;774.61;3,818.39;28,108.43;0.00;97.37;-;3,330.89;2,331.77;6,944.82;24.78;1,861.42
Jan 3, 2026 4:00 AM;Jan 3, 2026 5:00 AM;4,083.59;746.25;3,586.97;28,757.44;0.00;97.37;-;3,317.51;2,117.99;6,954.28;1.53;1,842.65
Jan 3, 2026 5:00 AM;Jan 3, 2026 6:00 AM;4,117.94;767.59;3,369.20;28,758.90;0.00;97.37;-;3,324.91;2,257.05;7,156.82;6.53;1,885.20
Jan 3, 2026 6:00 AM;Jan 3, 2026 7:00 AM;4,198.00;807.55;3,186.87;28,914.96;0.00;97.37;-;3,427.74;2,278.99;7,924.46;4.35;1,899.27
Jan 3, 2026 7:00 AM;Jan 3, 2026 8:00 AM;4,316.28;864.71;2,759.09;28,063.84;0.01;97.37;-;3,795.77;2,439.97;8,435.64;3.61;1,906.84
Jan 3, 2026 8:00 AM;Jan 3, 2026 9:00 AM;4,421.70;824.03;2,347.66;27,630.75;211.33;97.37;-;4,567.29;2,449.89;8,921.66;81.15;1,902.52
