Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2015 12:00 AM;Jan 1, 2015 1:00 AM;44,600.25;45,201.75;601.50;35,955.75
Jan 1, 2015 1:00 AM;Jan 1, 2015 2:00 AM;43,454.75;43,801.00;346.25;34,641.00
Jan 1, 2015 2:00 AM;Jan 1, 2015 3:00 AM;41,963.25;42,485.00;521.75;32,909.25
Jan 1, 2015 3:00 AM;Jan 1, 2015 4:00 AM;40,617.75;41,846.00;1,228.25;31,548.00
Jan 1, 2015 4:00 AM;Jan 1, 2015 5:00 AM;39,936.75;41,758.25;1,821.50;30,773.50
Jan 1, 2015 5:00 AM;Jan 1, 2015 6:00 AM;39,272.50;41,730.75;2,458.25;30,040.75
Jan 1, 2015 6:00 AM;Jan 1, 2015 7:00 AM;37,850.25;40,717.50;2,867.25;28,161.50
Jan 1, 2015 7:00 AM;Jan 1, 2015 8:00 AM;38,098.50;40,999.75;2,901.25;27,767.25
Jan 1, 2015 8:00 AM;Jan 1, 2015 9:00 AM;38,792.50;41,432.25;2,639.75;28,531.25
Jan 1, 2015 9:00 AM;Jan 1, 2015 10:00 AM;41,406.25;43,179.50;1,773.25;30,604.25
Jan 1, 2015 10:00 AM;Jan 1, 2015 11:00 AM;44,266.50;45,566.25;1,299.75;31,599.75
Jan 1, 2015 11:00 AM;Jan 1, 2015 12:00 PM;47,206.25;47,914.50;708.25;32,452.25
Jan 1, 2015 12:00 PM;Jan 1, 2015 1:00 PM;48,502.25;49,391.50;889.25;32,201.00
Jan 1, 2015 1:00 PM;Jan 1, 2015 2:00 PM;47,527.75;48,341.50;813.75;31,522.25
Jan 1, 2015 2:00 PM;Jan 1, 2015 3:00 PM;46,772.00;47,316.00;544.00;32,572.50
Jan 1, 2015 3:00 PM;Jan 1, 2015 4:00 PM;46,733.50;46,949.50;216.00;34,137.00
Jan 1, 2015 4:00 PM;Jan 1, 2015 5:00 PM;49,116.75;49,674.75;558.00;35,484.25
Jan 1, 2015 5:00 PM;Jan 1, 2015 6:00 PM;53,624.25;53,942.75;318.50;38,188.25
Jan 1, 2015 6:00 PM;Jan 1, 2015 7:00 PM;54,305.25;54,850.50;545.25;37,437.25
Jan 1, 2015 7:00 PM;Jan 1, 2015 8:00 PM;53,634.50;54,048.50;414.00;35,626.50
